學年度	開課系所代碼	開課系所名稱	科目代碼	科目中文名稱	科目英文名稱	必選修	全/半	上學期學分	下學期學分	上學期正課時數	上學期實驗時數	下學期正課時數	下學期實驗時數	停開	
113	HM75 	電機系（碩）	AEC8047 	超大型積體電路設計	VLSI Design	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8048 	資訊決策思考	Information and Critical Thinking	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8048 	資訊決策思考	Information and Critical Thinking	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8049 	高等計算機網路	Advanced Computer Networks	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8049 	高等計算機網路	Advanced Computer Networks	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8050 	多媒體網路	Advanced Multimedia Networks	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8050 	多媒體網路	Advanced Multimedia Networks	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8051 	嵌入式系統程式設計	Embedded System Programming	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8051 	嵌入式系統程式設計	Embedded System Programming	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8052 	數值分析	Numerical Analysis	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8052 	數值分析	Numerical Analysis	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8053 	可變結構控制	Variable Structure Control	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8053 	可變結構控制	Variable Structure Control	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8054 	控制系統設計	Control Systems Designs	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HM75 	電機系（碩）	AEC8054 	控制系統設計	Control Systems Designs	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
113	HD75 	電機系（博）	AEC8055 	3D內容生成與體感互動	3D Content Generation and Motion-Sensing Interaction	選修	半	3.0	0.0	3.0	0.0	0.0	0.0		
